iter	Passed	Remaining
1249	7573	22721
1250	7585	22732
1251	7590	22723
1252	7596	22715
1253	7598	22698
1254	7601	22684
1255	7610	22687
1256	7614	22672
1257	7617	22659
1258	7622	22650
1259	7626	22636
1260	7629	22622
1261	7632	22605
1262	7638	22600
1263	7641	22586
1264	7646	22576
1265	7650	22563
1266	7655	22555
1267	7659	22542
1268	7661	22525
1269	7664	22511
1270	7679	22530
1271	7688	22533
1272	7693	22524
1273	7705	22535
1274	7712	22531
1275	7715	22516
1276	7718	22501
1277	7726	22503
1278	7739	22515
1279	7751	22527
1280	7753	22510
1281	7755	22493
1282	7763	22492
1283	7767	22479
1284	7771	22468
1285	7777	22460
1286	7784	22457
1287	7787	22442
1288	7795	22442
1289	7803	22443
1290	7812	22445
1291	7815	22430
1292	7823	22429
1293	7833	22434
1294	7836	22419
1295	7839	22404
1296	7842	22389
1297	7844	22373
1298	7847	22357
1299	7849	22341
1300	7850	22321
1301	7854	22309
1302	7857	22294
1303	7861	22283
1304	7872	22290
1305	7874	22272
1306	7877	22258
1307	7885	22258
1308	7896	22266
1309	7900	22254
1310	7904	22243
1311	7908	22231
1312	7915	22226
1313	7958	22326
1314	7961	22311
1315	7969	22310
1316	7973	22298
1317	7977	22284
1318	7980	22270
1319	7984	22260
1320	7988	22248
1321	7992	22237
1322	7998	22229
1323	8003	22220
1324	8008	22210
1325	8014	22207
1326	8018	22193
1327	8023	22184
1328	8026	22169
1329	8028	22154
1330	8031	22140
1331	8038	22136
1332	8042	22123
1333	8052	22128
1334	8057	22120
1335	8063	22113
1336	8081	22140
1337	8086	22131
1338	8089	22116
1339	8103	22134
1340	8109	22128
1341	8114	22118
1342	8120	22112
1343	8123	22097
1344	8126	22082
1345	8134	22082
1346	8148	22097
1347	8151	22084
1348	8152	22063
1349	8155	22049
1350	8160	22039
1351	8167	22037
1352	8178	22044
1353	8182	22034
1354	8185	22019
1355	8190	22010
1356	8196	22004
1357	8201	21996
1358	8206	21986
1359	8209	21972
1360	8212	21957
1361	8214	21941
1362	8232	21968
1363	8238	21962
1364	8242	21948
1365	8253	21957
1366	8271	21983
1367	8277	21975
1368	8284	21973
1369	8294	21976
1370	8297	21962
1371	8302	21954
1372	8309	21950
1373	8318	21951
1374	8323	21944
1375	8327	21932
1376	8332	21923
1377	8337	21915
1378	8340	21899
1379	8344	21889
1380	8347	21874
1381	8350	21862
1382	8358	21861
1383	8362	21848
1384	8362	21828
1385	8365	21813
1386	8370	21803
1387	8377	21801
1388	8382	21792
1389	8385	21779
1390	8390	21769
1391	8393	21755
1392	8396	21742
1393	8400	21730
1394	8412	21738
1395	8417	21732
1396	8420	21717
1397	8423	21703
1398	8427	21692
1399	8429	21676
1400	8432	21660
1401	8447	21677
1402	8450	21664
1403	8453	21651
1404	8458	21644
1405	8466	21642
1406	8471	21632
1407	8474	21618
1408	8474	21598
1409	8479	21590
1410	8487	21589
1411	8496	21591
1412	8504	21588
1413	8510	21583
1414	8514	21572
1415	8515	21554
1416	8520	21543
1417	8522	21528
1418	8526	21518
1419	8530	21506
1420	8536	21501
1421	8544	21499
1422	8547	21487
1423	8551	21473
1424	8556	21466
1425	8559	21452
1426	8564	21443
1427	8570	21438
1428	8574	21426
1429	8577	21414
1430	8580	21399
1431	8584	21388
1432	8588	21377
1433	8596	21376
1434	8601	21368
1435	8608	21365
1436	8611	21351
1437	8614	21338
1438	8616	21323
1439	8621	21313
1440	8624	21300
1441	8628	21290
1442	8635	21285
1443	8640	21277
1444	8643	21265
1445	8650	21262
1446	8655	21254
1447	8659	21241
1448	8662	21229
1449	8666	21218
1450	8670	21206
1451	8679	21207
1452	8690	21213
1453	8693	21201
1454	8696	21188
1455	8699	21174
1456	8712	21186
1457	8721	21187
1458	8730	21188
1459	8733	21175
1460	8736	21161
1461	8738	21146
1462	8741	21134
1463	8746	21125
1464	8754	21123
1465	8756	21108
1466	8759	21096
1467	8762	21081
1468	8767	21074
1469	8777	21077
1470	8800	21113
1471	8808	21111
1472	8812	21102
1473	8814	21085
1474	8817	21073
1475	8822	21063
1476	8856	21124
1477	8874	21147
1478	8885	21152
1479	8892	21150
1480	8897	21141
1481	8906	21141
1482	8932	21182
1483	8936	21173
1484	8942	21168
1485	8945	21154
1486	8948	21140
1487	8953	21131
1488	8959	21126
1489	8966	21122
1490	8971	21113
1491	8973	21099
1492	8976	21086
1493	8977	21068
1494	8983	21060
1495	8984	21043
1496	8989	21035
1497	8992	21023
1498	8995	21009
1499	8999	20999
1500	9003	20987
1501	9006	20976
1502	9025	21000
1503	9031	20992
1504	9043	21000
1505	9051	20999
1506	9071	21026
1507	9088	21044
1508	9096	21044
1509	9102	21037
1510	9111	21039
1511	9115	21029
1512	9118	21016
1513	9124	21008
1514	9127	20997
1515	9131	20986
1516	9144	20996
1517	9151	20992
1518	9156	20982
1519	9159	20970
1520	9168	20971
1521	9179	20975
1522	9186	20973
1523	9190	20961
1524	9198	20960
1525	9206	20959
1526	9210	20948
1527	9221	20953
1528	9224	20940
1529	9229	20931
1530	9233	20921
1531	9237	20911
1532	9243	20905
1533	9250	20902
1534	9259	20900
1535	9263	20891
1536	9266	20878
1537	9269	20866
1538	9278	20866
1539	9284	20858
1540	9293	20861
1541	9298	20852
1542	9301	20839
1543	9304	20825
1544	9310	20820
1545	9318	20818
1546	9323	20809
1547	9329	20803
1548	9332	20791
1549	9337	20783
1550	9344	20779
1551	9348	20768
1552	9357	20770
1553	9362	20761
1554	9383	20787
1555	9400	20807
1556	9403	20793
1557	9406	20780
1558	9410	20771
1559	9415	20762
1560	9419	20751
1561	9423	20741
1562	9436	20750
1563	9440	20739
1564	9446	20734
1565	9461	20747
1566	9468	20744
1567	9474	20738
1568	9482	20735
1569	9490	20733
1570	9494	20722
1571	9496	20709
1572	9499	20696
1573	9502	20682
1574	9506	20673
1575	9515	20672
1576	9519	20663
1577	9527	20661
1578	9530	20648
1579	9531	20631
1580	9534	20619
1581	9538	20607
1582	9541	20595
1583	9546	20586
1584	9551	20578
1585	9560	20579
1586	9562	20565
1587	9566	20555
1588	9571	20545
1589	9576	20537
1590	9582	20532
1591	9584	20518
1592	9587	20505
1593	9590	20492
1594	9593	20479
1595	9597	20468
1596	9609	20477
1597	9617	20475
1598	9620	20462
1599	9625	20453
1600	9630	20446
1601	9634	20434
1602	9634	20417
1603	9639	20408
1604	9653	20418
1605	9667	20431
1606	9682	20443
1607	9685	20430
1608	9688	20418
1609	9696	20417
1610	9702	20411
1611	9706	20400
1612	9713	20395
1613	9716	20384
1614	9720	20373
1615	9724	20362
1616	9731	20360
1617	9735	20349
1618	9740	20341
1619	9743	20329
1620	9747	20318
1621	9748	20302
1622	9752	20291
1623	9758	20285
1624	9762	20276
1625	9767	20267
1626	9773	20262
1627	9776	20250
1628	9779	20237
1629	9792	20244
1630	9798	20240
1631	9814	20253
1632	9818	20245
1633	9825	20240
1634	9830	20232
1635	9841	20236
1636	9842	20219
1637	9845	20207
1638	9852	20203
1639	9856	20192
1640	9862	20187
1641	9865	20175
1642	9868	20163
1643	9871	20150
1644	9873	20137
1645	9877	20127
1646	9886	20127
1647	9889	20115
1648	9899	20117
1649	9908	20117
1650	9915	20113
1651	9919	20103
1652	9926	20099
1653	9929	20087
1654	9934	20078
1655	9937	20066
1656	9944	20063
1657	9959	20074
1658	9962	20062
1659	9965	20051
1660	9969	20040
1661	9979	20043
1662	9982	20030
1663	9991	20031
1664	9999	20028
1665	10002	20016
1666	10005	20004
1667	10010	19996
1668	10013	19985
1669	10017	19974
1670	10020	19962
1671	10027	19958
